aaa,9822912,7542,9,23
aab,9817469,9147,10,39
aac,9960871,8798,226,526
aad,9847197,8843,180,339
aae,9943290,10082,65,205
aaf,9909788,8421,71,109
aag,9929732,8691,111,221
aba,9845856,9126,93,183
abb,9997676,8677,168,311
abc,9765811,10205,85,165
abd,9929876,7436,116,262
abe,9983272,9500,233,310
abf,9840914,7830,141,209
abg,9981776,8350,90,239
aca,9912316,8682,356,485
acb,9458567,8288,233,462
acc,9610664,9451,18,85
acd,9986615,7607,59,154
ace,9957098,9295,41,100
acf,9423166,9478,163,316
acg,9850574,7851,71,109
ada,9787573,11027,23,85
adb,9826405,8644,222,361
adc,9829300,9825,92,136
add,9963860,9445,40,125
ade,9849990,8213,12,33
adf,9956680,7941,110,240
adg,9592380,9323,189,288
aea,9865943,7830,12,41
aeb,9947986,7507,5,10
aec,9909149,9123,110,279
aed,9847711,9087,5,7
aee,9865421,7804,119,251
aef,9989504,8211,58,107
aeg,9978479,9157,30,105
afa,9961716,8484,49,78
afb,9892988,8808,6,16
afc,9708769,9449,492,720
afd,9896705,9883,414,730
afe,9663204,9077,74,291
aff,9962399,8433,259,332
afg,9953344,9808,141,213
aga,9865847,9614,182,290
agb,9651793,9698,148,258
agc,9984713,8419,26,47
agd,9993589,7953,90,147
age,9875310,8917,55,165
agf,9580018,10258,20,68
agg,9975219,9683,214,417
baa,9934731,8809,267,380
bab,9954310,7454,159,297
bac,9844254,9611,91,201
bad,9880021,8838,270,464
bae,9861528,9652,82,210
baf,9942561,9301,95,257
bag,9946460,8136,256,394
bba,9473447,7189,176,263
bbb,9942181,8954,402,824
bbc,9949344,9504,21,49
bbd,9836080,8745,68,166
bbe,9614558,9102,106,242
bbf,9570577,9874,42,91
bbg,9865897,8926,167,206
bca,9864287,8948,86,172
bcb,9990224,6877,226,359
bcc,9955756,8788,213,300
bcd,9990088,8275,79,252
bce,9652718,7656,270,546
bcf,9910420,11209,556,873
bcg,9536851,8332,43,121
bda,9797444,8106,102,203
bdb,9895016,10761,329,676
bdc,9995078,10426,71,220
bdd,9945767,8711,242,466
bde,9800828,10618,183,359
bdf,9822238,8234,7,15
bdg,9937224,8403,255,379
bea,9793409,9396,220,326
beb,9415173,9670,59,151
bec,9915747,8318,132,244
bed,9689072,9702,157,280
bee,9964745,7387,166,265
bef,9842037,10105,30,47
beg,9961735,7903,38,58
bfa,9942675,8745,111,271
bfb,9996510,9710,44,64
bfc,9988648,8552,41,124
bfd,9957349,8705,183,435
bfe,9969012,9349,38,64
bff,9729638,9144,17,46
bfg,9347484,10153,164,250
bga,9937640,8626,94,142
bgb,9496507,9033,9,19
bgc,9998109,10840,83,201
bgd,9987475,8563,144,218
bge,9846408,9805,114,213
bgf,9971973,9086,5,9
bgg,9892827,8546,14,27
caa,9930807,9577,27,82
cab,9944075,9458,279,511
cac,9886984,8591,56,170
cad,9980871,9399,165,333
cae,9991407,7585,81,156
caf,9961044,8137,107,179
cag,9942134,8697,73,177
cba,9492397,9544,180,279
cbb,9837365,9304,274,469
cbc,9851791,9164,145,303
cbd,9982202,8600,25,46
cbe,9980159,9488,7,24
cbf,9795843,7211,292,485
cbg,9935474,9078,228,372
cca,9820858,7593,133,222
ccb,9904516,10143,200,312
ccc,9876001,9228,116,293
ccd,9989935,9349,241,394
cce,9389006,8077,43,91
ccf,9799652,7907,6,20
ccg,9958571,8897,336,583
cda,9821760,8438,193,265
cdb,9984066,9392,200,454
cdc,9890718,10162,78,182
